ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงการทาง,จังหวัด
1,102,แยก คปอ. - สนามกีฬาธูปะเตมีย์,25+556,"27,826","14,441",876,"2,486","3,058","8,636",921,291,192,89,"58,816",11.96,47,"9,444",ขท.กรุงเทพ,กรุงเทพมหานคร
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,35+550,"185,739","39,258","19,273","4,403","12,949","66,696","9,507","4,037","2,932","2,563","347,357",10.48,590,"17,484",ขท.ปทุมธานี,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,48+100,"68,977","23,319","2,182","3,955","7,857","38,007","15,338","2,339","1,023",708,"163,705",19.07,64,"10,187",ขท.ปทุมธานี,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์ - หนองแค,60+800,"40,214","21,032","7,113","2,237","7,280","15,558","14,177","9,342","8,588","7,562","133,103",36.95,0,"2,706",ขท.อยุธยา,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์ - หนองแค,67+300,"40,764","19,350","7,186","1,582","6,375","15,522","14,379","9,414","9,640","8,413","132,625",37.55,0,"2,214",ขท.อยุธยา,พระนครศรีอยุธยา
1,401,หนองแค - หินกอง,92+000,"25,944","24,709",856,"1,364","1,692","27,273","3,279","3,581","3,705","3,164","95,567",17.56,13,"1,163",ขท.สระบุรี,สระบุรี
1,403,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,121+000,"14,469","14,939",778,608,542,"2,913","1,601","1,798","4,632","5,865","48,145",31.25,228,"1,564",ขท.สระบุรี,สระบุรี
1,404,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,136+208,"9,004","8,881","1,398","1,468","1,370","6,191","3,363","3,466","3,767","3,495","42,403",39.92,74,"4,632",ขท.สระบุรี,สระบุรี
1,501,แยกโรงเรียนสุธีวิทยา - ดงจำปา,142+200,"7,904","8,368","1,430",935,401,"1,920","1,081","1,049","1,619","1,015","25,722",23.72,61,"1,789",ขท.ลพบุรีที่ 1,สระบุรี
1,503,แยก ร.พ.อานันทมหิดล - โคกสำโรง,167+355,"6,039","1,380",25,33,107,"6,687",274,76,187,71,"14,879",5.03,81,"2,875",ขท.ลพบุรีที่ 1,ลพบุรี
1,504,โคกสำโรง - หนองม่วง,192+000,"4,952","1,887",245,243,423,"2,082",280,322,428,256,"11,118",17.56,6,"1,775",ขท.ลพบุรีที่ 1,ลพบุรี
1,601,ลำพยนต์ - เกษตรชัย,222+176,"1,180",254,11,14,34,"1,727",132,150,418,168,"4,088",22.41,13,444,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,602,เกษตรชัย - ตาคลี,235+000,"1,498",437,8,10,9,"1,154",89,63,126,27,"3,421",9.47,2,"1,092",ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,603,ตาคลี - ดอนรังนก,254+000,"2,246","2,202",62,7,40,"1,242",175,186,191,71,"6,422",10.43,36,"1,726",ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,700,ดอนรังนก - หางน้ำหนองแขม,267+758,"2,845","1,883",1,2,43,"1,788",483,479,498,109,"8,131",19.85,11,945,ขท.ชัยนาท,ชัยนาท
1,700,ดอนรังนก - หางน้ำหนองแขม,289+504,"5,344","1,660",7,3,72,"4,976",621,383,824,237,"14,127",15.15,29,"1,515",ขท.ชัยนาท,ชัยนาท
1,700,ดอนรังนก - หางน้ำหนองแขม,291+711,"5,765","2,414",6,7,64,"2,136",576,393,761,200,"12,322",16.24,23,989,ขท.ชัยนาท,ชัยนาท
1,801,หางน้ำหนองแขม - บ้านหว้า,306+776,"10,438","12,126",0,28,443,"17,615","1,950","2,421","2,268","2,119","49,408",18.68,0,886,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,801,หางน้ำหนองแขม - บ้านหว้า,316+676,"7,850","7,307",0,0,425,"12,398","2,227","2,244","2,191","2,222","36,864",25.25,14,915,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,802,บ้านหว้า - แยกเวียงดอย,331+276,"7,734","7,716",9,759,973,"12,778",916,"1,049",875,821,"33,630",16.04,20,"6,782",ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,802,บ้านหว้า - แยกเวียงดอย,341+076,"11,638","7,544",291,302,641,"13,206",607,662,673,597,"36,161",9.63,62,"8,127",ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,804,วังไผ่ -โนนปอแดง,356+936,"2,977","3,075",27,74,230,"6,865",696,881,"1,399","1,234","17,458",25.86,62,"1,389",ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,804,วังไผ่ -โนนปอแดง,377+276,"5,544","3,490",19,6,339,"5,414",950,"1,395","1,797","2,584","21,538",32.83,25,462,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,901,โนนปอแดง - ปากดง,390+276,"4,553","3,064",174,15,253,"4,445",909,822,"1,313","1,789","17,337",29.42,16,939,ขท.กำแพงเพชร,กำแพงเพชร
1,901,โนนปอแดง - ปากดง,417+776,"4,410","3,348",263,259,369,"4,788",791,979,"1,110","1,161","17,478",26.71,30,709,ขท.กำแพงเพชร,กำแพงเพชร
1,901,โนนปอแดง - ปากดง,423+900,"4,934","3,111",64,27,279,"6,046",831,832,"1,125","1,495","18,744",24.48,9,352,ขท.กำแพงเพชร,กำแพงเพชร
1,902,ปากดง - นครชุม,457+876,"8,588","3,123",137,96,250,"7,894","1,421","1,477","2,361","2,615","27,962",29.40,34,"3,001",ขท.กำแพงเพชร,กำแพงเพชร
1,903,นครชุม - วังเจ้า,485+476,"4,389","2,064",732,30,138,"3,443",738,530,619,"1,302","13,985",24.00,12,806,ขท.กำแพงเพชร,กำแพงเพชร
1,1001,วังเจ้า - ตาก,511+796,"3,539","5,104",10,7,150,"1,899",949,937,821,"1,505","14,921",29.28,33,936,ขท.ตากที่ 1,ตาก
1,1003,วังม่วง - แม่เชียงรายบน,543+117,"3,433","1,441",104,160,376,441,831,835,887,342,"8,850",38.77,62,621,ขท.ตากที่ 1,ตาก
1,1101,แม่เชียงรายบน - ดอนไชย,589+255,"4,509","2,890",213,293,273,"1,452",771,692,"1,057","1,043","13,193",31.30,26,233,ขท.ลำปางที่ 1,ลำปาง
